,file
0,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_nlp-getting-started_correlations-dataprep-kendalltauipynb.py
1,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_tabular-playground-series-feb-2022_cnn-on-cifar-10ipynb.py
2,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_feedback-prize-2021_multiclass-text-classificationipynb.py
3,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_plant-pathology-2020-fgvc7_plant-pathology-pytorchipynb.py
4,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_tabular-playground-series-feb-2022_jack-siim-tensorflow2ipynb.py
5,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_tabular-playground-series-may-2021_tabular-series-beginner-solutionipynb.py
6,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_abstraction-and-reasoning-challenge_outliers-analysis-lb-0-98ipynb.py
7,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_AI4Code_gradient-descent-implementation-for-olsipynb.py
8,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_tabular-playground-series-may-2022_5-classes-classification-amazon-reviews-40-lstmipynb.py
9,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_ventilator-pressure-prediction_add-0036514624-data-transformation-in-o-n-timeipynb.py
10,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_digit-recognizer_digit-recognizer-keras-gpuipynb.py
11,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_hotel-id-to-combat-human-trafficking-2022-fgvc9_may-tp-xgboost-parameter-searchipynb.py
12,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_tabular-playground-series-mar-2022_machine-learning-models-vs-deep-learningipynb.py
13,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_histopathologic-cancer-detection_cancer-detection-pytorch-cnnipynb.py
14,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_h-and-m-personalized-fashion-recommendations_starter-trending-youtube-video-55ec74f4-8ipynb.py
15,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_g-research-crypto-forecasting_scikit-learn-williamipynb.py
16,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_nfl-health-and-safety-helmet-assignment_function-linear-regression-single-line-codeipynb.py
17,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_g2net-gravitational-wave-detection_g2net-effb3-100-seed-21-newipynb.py
18,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_jpx-tokyo-stock-exchange-prediction_testing-binary-cnn-models-amazon-yelp-reviewsipynb.py
19,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_santa-2021_starter-house-sales-in-king-county-8ceb15de-5ipynb.py
20,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_landmark-recognition-2021_glrecogn21-efficientnetb0-baseline-inferenceipynb.py
21,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_GiveMeSomeCredit_notebookfa1dd4ec5bipynb.py
22,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_kore-2022_starter-graduate-admissions-91c64936-aipynb.py
23,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_store-sales-time-series-forecasting_may-tp-xgboost-parameter-searchipynb.py
24,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_connectx_starter-titanic-8106b276-cipynb.py
25,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_santander-customer-transaction-prediction_standard-projipynb.py
26,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_data-science-bowl-2019_kernel-add-catboostipynb.py
27,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_tabular-playground-series-oct-2021_santander-customer-pca-dae-using-lr-lgbmipynb.py
28,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_lux-ai-2021_starter-red-wine-quality-fd717a1f-3ipynb.py
29,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_ghouls-goblins-and-ghosts-boo_notebookdcf724b158ipynb.py
30,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_flower-classification-with-tpus_densenet-3-conv2d-predicts-flowers-on-tpuipynb.py
31,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_store-sales-time-series-forecasting_jpx-pytorch-neural-network-with-ta-lib-featuresipynb.py
32,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_herbarium-2022-fgvc9_student-placement-predictions-with-datavizipynb.py
33,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_dont-call-me-turkey_no-frills-turkeyipynb.py
34,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_image-matching-challenge-2022_financial-time-series-predictionipynb.py
35,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_smartphone-decimeter-2022_knn-randomforestclassifieripynb.py
36,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_womens-march-mania-2022_jigsaw-tpu-xlm-robertaipynb.py
37,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_avito-context-ad-clicks_logistic-regression-on-ctr-pt-2py.py
38,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_nfl-health-and-safety-helmet-assignment_recall-97-by-using-undersampling-neural-networkipynb.py
39,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_trackml-particle-identification_trackml-particle-tracking-challengeipynb.py
40,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_aptos2019-blindness-detection_effnetipynb.py
41,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_image-matching-challenge-2022_smarcle-w3-concrete-crack-imageipynb.py
42,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_ncaaw-march-mania-2021_2021-ncaaw-first-step-v-3-stage-2-visualizationipynb.py
43,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_iwildcam2022-fgvc9_tps-may-pytorch-with-gpuipynb.py
44,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_lux-ai-2021_private-or-public-dsos2022ipynb.py
45,D:\AgileAI\Kaggle_Notebooks\kaggle_scripts\_quora-question-pairs_quora-question-pair-using-glove-and-lstmipynb.py
